EE Provider ID	EE UID	CoC Code	Program Type Code	Provider County	Entry Exit Provider Area
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	690939	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	690941	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	691022	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	691023	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	691081	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	691403	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	691404	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	691408	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	691412	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	691416	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	691417	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	691589	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	691805	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	691806	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	691807	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	691810	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	691814	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	691817	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	691818	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	692148	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	692151	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	692156	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	692159	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	692161	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	692162	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	692163	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	692165	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	692547	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	692548	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	692550	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	692552	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	692553	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	692557	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	692899	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	692901	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	692903	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	692905	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	692906	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	692908	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	692913	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	693538	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	693539	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	693540	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	693541	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	693542	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	693543	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	693544	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	693545	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	693546	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	694230	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	694234	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	694235	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	694236	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	694238	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	694244	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	694245	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	694246	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	694551	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	694552	NC-502	Emergency Shelter (HUD)	Durham	Durham
